State,State Code,Year,Year Code,Month,Month Code,Deaths,Lat,Lon
Alabama,1,2011,2011,"Jan., 2011",2011/01,62,32.799,-86.8073
Alaska,2,2011,2011,"Jan., 2011",2011/01,10,61.385,-152.2683
Arizona,4,2011,2011,"Jan., 2011",2011/01,91,33.7712,-111.3877
Arkansas,5,2011,2011,"Jan., 2011",2011/01,37,34.9513,-92.3809
California,6,2011,2011,"Jan., 2011",2011/01,321,36.17,-119.7462
Colorado,8,2011,2011,"Jan., 2011",2011/01,74,39.0646,-105.3272
Connecticut,9,2011,2011,"Jan., 2011",2011/01,26,41.5834,-72.7622
Florida,12,2011,2011,"Jan., 2011",2011/01,229,27.8333,-81.717
Georgia,13,2011,2011,"Jan., 2011",2011/01,106,32.9866,-83.6487
Hawaii,15,2011,2011,"Jan., 2011",2011/01,16,21.1098,-157.5311
Idaho,16,2011,2011,"Jan., 2011",2011/01,17,44.2394,-114.5103
Illinois,17,2011,2011,"Jan., 2011",2011/01,99,40.3363,-89.0022
Indiana,18,2011,2011,"Jan., 2011",2011/01,68,39.8647,-86.2604
Iowa,19,2011,2011,"Jan., 2011",2011/01,38,42.0046,-93.214
Kansas,20,2011,2011,"Jan., 2011",2011/01,23,38.5111,-96.8005
Kentucky,21,2011,2011,"Jan., 2011",2011/01,44,37.669,-84.6514
Louisiana,22,2011,2011,"Jan., 2011",2011/01,53,31.1801,-91.8749
Maine,23,2011,2011,"Jan., 2011",2011/01,12,44.6074,-69.3977
Maryland,24,2011,2011,"Jan., 2011",2011/01,37,39.0724,-76.7902
Massachusetts,25,2011,2011,"Jan., 2011",2011/01,38,42.2373,-71.5314
Michigan,26,2011,2011,"Jan., 2011",2011/01,95,43.3504,-84.5603
Minnesota,27,2011,2011,"Jan., 2011",2011/01,63,45.7326,-93.9196
Mississippi,28,2011,2011,"Jan., 2011",2011/01,26,32.7673,-89.6812
Missouri,29,2011,2011,"Jan., 2011",2011/01,81,38.4623,-92.302
Montana,30,2011,2011,"Jan., 2011",2011/01,32,46.9048,-110.3261
Nebraska,31,2011,2011,"Jan., 2011",2011/01,21,41.1289,-98.2883
Nevada,32,2011,2011,"Jan., 2011",2011/01,47,38.4199,-117.1219
