Year,Year Code,Month,Mon,Month_Code,Deaths
2011,2011,"Jan., 2011",Jan,Jan-2011,3155
2011,2011,"Feb., 2011",Feb,Feb-2011,2778
2011,2011,"Mar., 2011",Mar,Mar-2011,3392
2011,2011,"Apr., 2011",Apr,Apr-2011,3446
2011,2011,"May, 2011",May,May-2011,3466
2011,2011,"Jun., 2011",Jun,Jun-2011,3355
2011,2011,"Jul., 2011",Jul,Jul-2011,3573
2011,2011,"Aug., 2011",Aug,Aug-2011,3498
2011,2011,"Sep., 2011",Sep,Sep-2011,3332
2011,2011,"Oct., 2011",Oct,Oct-2011,3306
2011,2011,"Nov., 2011",Nov,Nov-2011,3136
2011,2011,"Dec., 2011",Dec,Dec-2011,3081
2012,2012,"Jan., 2012",Jan,Jan-2012,3308
2012,2012,"Feb., 2012",Feb,Feb-2012,3094
2012,2012,"Mar., 2012",Mar,Mar-2012,3397
2012,2012,"Apr., 2012",Apr,Apr-2012,3424
2012,2012,"May, 2012",May,May-2012,3704
2012,2012,"Jun., 2012",Jun,Jun-2012,3468
2012,2012,"Jul., 2012",Jul,Jul-2012,3636
2012,2012,"Aug., 2012",Aug,Aug-2012,3544
2012,2012,"Sep., 2012",Sep,Sep-2012,3387
2012,2012,"Oct., 2012",Oct,Oct-2012,3330
2012,2012,"Nov., 2012",Nov,Nov-2012,3137
2012,2012,"Dec., 2012",Dec,Dec-2012,3171
2013,2013,"Jan., 2013",Jan,Jan-2013,3529
2013,2013,"Feb., 2013",Feb,Feb-2013,3016
2013,2013,"Mar., 2013",Mar,Mar-2013,3576
2013,2013,"Apr., 2013",Apr,Apr-2013,3526
2013,2013,"May, 2013",May,May-2013,3538
2013,2013,"Jun., 2013",Jun,Jun-2013,3479
2013,2013,"Jul., 2013",Jul,Jul-2013,3640
2013,2013,"Aug., 2013",Aug,Aug-2013,3580
2013,2013,"Sep., 2013",Sep,Sep-2013,3450
2013,2013,"Oct., 2013",Oct,Oct-2013,3467
2013,2013,"Nov., 2013",Nov,Nov-2013,3172
2013,2013,"Dec., 2013",Dec,Dec-2013,3176
2014,2014,"Jan., 2014",Jan,Jan-2014,3320
2014,2014,"Feb., 2014",Feb,Feb-2014,3091
2014,2014,"Mar., 2014",Mar,Mar-2014,3408
2014,2014,"Apr., 2014",Apr,Apr-2014,3606
2014,2014,"May, 2014",May,May-2014,3589
2014,2014,"Jun., 2014",Jun,Jun-2014,3552
2014,2014,"Jul., 2014",Jul,Jul-2014,3534
2014,2014,"Aug., 2014",Aug,Aug-2014,4027
2014,2014,"Sep., 2014",Sep,Sep-2014,4034
2014,2014,"Oct., 2014",Oct,Oct-2014,3791
2014,2014,"Nov., 2014",Nov,Nov-2014,3480
2014,2014,"Dec., 2014",Dec,Dec-2014,3394
2015,2015,"Jan., 2015",Jan,Jan-2015,3618
2015,2015,"Feb., 2015",Feb,Feb-2015,3215
2015,2015,"Mar., 2015",Mar,Mar-2015,3935
2015,2015,"Apr., 2015",Apr,Apr-2015,3726
2015,2015,"May, 2015",May,May-2015,3966
2015,2015,"Jun., 2015",Jun,Jun-2015,3785
2015,2015,"Jul., 2015",Jul,Jul-2015,3944
2015,2015,"Aug., 2015",Aug,Aug-2015,3912
2015,2015,"Sep., 2015",Sep,Sep-2015,3578
2015,2015,"Oct., 2015",Oct,Oct-2015,3688
2015,2015,"Nov., 2015",Nov,Nov-2015,3357
2015,2015,"Dec., 2015",Dec,Dec-2015,3469
2016,2016,"Jan., 2016",Jan,Jan-2016,3720
2016,2016,"Feb., 2016",Feb,Feb-2016,3445
2016,2016,"Mar., 2016",Mar,Mar-2016,3921
2016,2016,"Apr., 2016",Apr,Apr-2016,3812
2016,2016,"May, 2016",May,May-2016,3853
2016,2016,"Jun., 2016",Jun,Jun-2016,3726
2016,2016,"Jul., 2016",Jul,Jul-2016,4033
2016,2016,"Aug., 2016",Aug,Aug-2016,4042
2016,2016,"Sep., 2016",Sep,Sep-2016,3720
2016,2016,"Oct., 2016",Oct,Oct-2016,3838
2016,2016,"Nov., 2016",Nov,Nov-2016,3458
2016,2016,"Dec., 2016",Dec,Dec-2016,3397
